Date,Open,High,Low,Close,Volume
2012-05-07,23270,23277,23050,23138,19544
2012-05-08,23122,23122,22918,22959,24163
2012-05-09,22935,23018,22812,22981,22437
2012-05-10,22998,22998,22770,22830,21453
2012-05-11,22802,22844,22741,22784,14427
2012-05-12,22782,22791,22764,22778,1056
2012-05-14,22781,22808,22601,22636,20394
2012-05-15,22611,22611,22465,22528,14776
2012-05-16,22503,22560,22341,22407,21330
2012-05-17,22481,22799,22450,22758,22703
2012-05-18,22790,23070,22790,23031,23263
2012-05-19,23048,23099,23048,23091,2583
2012-05-21,23100,23199,23056,23115,14750
2012-05-22,23120,23189,23010,23130,13315
2012-05-23,23100,23125,22990,23059,14430
2012-05-24,23089,23146,23011,23035,11400
2012-05-25,23049,23080,22950,23023,8394
2012-05-26,23048,23054,23004,23022,1765
2012-05-28,23010,23107,23002,23055,6261
2012-05-29,23107,23243,23058,23121,5661
2012-05-30,23064,23264,23003,23192,2597
2012-05-31,23102,23884,23102,23402,2588
2012-06-01,23330,23795,23122,23764,48517
2012-06-02,23798,23883,23767,23866,5536
2012-06-04,23860,23893,23720,23748,21425
2012-06-05,23770,23888,23770,23823,18571
2012-06-06,23880,24029,23848,23872,23248
2012-06-07,23835,23835,23330,23381,42907
2012-06-08,23350,23520,23238,23507,28544
2012-06-09,23524,23537,23503,23513,1999
2012-06-11,23500,23649,23488,23637,15578
2012-06-12,23649,23833,23614,23812,22332
2012-06-13,23777,23939,23777,23855,21024
2012-06-14,23888,23995,23833,23922,21163
2012-06-15,23943,24046,23915,24015,21136
2012-06-16,24017,24034,24000,24025,1623
2012-06-18,24030,24175,23940,24146,20022
2012-06-19,24152,24249,24113,24145,16739
2012-06-20,24157,24200,24048,24186,15082
2012-06-21,24125,24170,23914,23927,17752
2012-06-22,23966,24015,23852,23995,9792
2012-06-23,24025,24060,24012,24030,1084
2012-06-25,23950,24101,23865,24062,11075
2012-06-26,24087,24120,23980,24002,4995
2012-06-27,23988,24095,23960,24038,4992
2012-06-28,24079,24080,23776,23808,4960
2012-06-29,23988,24105,23540,23739,5044
2012-06-30,23691,23800,23495,23577,981
2012-07-02,23750,23838,23695,23763,14392
2012-07-03,23765,23776,23626,23645,18271
2012-07-04,23666,23730,23631,23693,14610
2012-07-05,23701,23873,23701,23814,28339
2012-07-06,23825,23854,23690,23715,28516
2012-07-07,23724,23737,23716,23732,1025
2012-07-09,23737,23772,23698,23757,12853
2012-07-10,23774,23774,23612,23623,20866
2012-07-11,23611,23611,23475,23498,20721
2012-07-12,23490,23532,23413,23442,22032
2012-07-13,23440,23528,23422,23480,16229
2012-07-14,23462,23487,23460,23471,870
2012-07-16,23490,23509,23406,23471,13054
2012-07-17,23500,23526,23421,23466,17296
2012-07-18,23450,23462,23385,23394,14667
2012-07-19,23425,23470,23383,23397,14367
2012-07-20,23380,23454,23380,23447,11714
2012-07-21,23411,23460,23411,23450,792
2012-07-23,23455,23560,23441,23554,16093
2012-07-24,23530,23636,23517,23620,13027
2012-07-25,23637,23824,23637,23808,18977
2012-07-26,23800,23839,23753,23766,16023
2012-07-27,23783,23814,23730,23751,8464
2012-07-28,23760,23770,23708,23717,1722
2012-07-30,23717,23775,23690,23722,7015
2012-07-31,23732,23848,23707,23821,4514
2012-08-01,24045,24045,23883,23913,21119
2012-08-02,23901,23975,23878,23904,15194
2012-08-03,23945,23950,23808,23833,18621
2012-08-04,23834,23849,23823,23838,714
2012-08-06,23825,23904,23813,23854,14742
2012-08-07,23874,23903,23731,23744,20676
2012-08-08,23748,23828,23748,23819,13839
2012-08-09,23830,23870,23803,23861,9785
2012-08-10,23860,23930,23832,23914,13876
2012-08-11,23911,23916,23888,23911,668
2012-08-13,23920,24031,23920,23949,15128
2012-08-14,23960,24014,23891,23935,13834
2012-08-16,23961,24065,23961,24044,20801
2012-08-17,24051,24120,24051,24110,11909
2012-08-18,24111,24115,24089,24095,931
2012-08-20,24078,24132,24047,24126,2866
2012-08-21,24131,24215,24114,24205,8642
2012-08-22,24219,24315,24219,24251,12470
2012-08-23,24299,24699,24299,24651,16495
2012-08-24,24633,24740,24590,24721,12080
2012-08-25,24714,24850,24710,24830,1931
2012-08-27,24888,24977,24806,24942,8906
2012-08-28,24911,24930,24729,24829,5907
2012-08-29,24797,24875,24666,24776,3680
2012-08-30,24789,25285,24702,24822,4207
2012-08-31,24877,25567,24556,24735,4013
2012-09-01,24949,25089,24949,25039,5557
2012-09-03,25049,25114,24930,25013,14384
2012-09-04,25050,25177,25033,25164,20444
2012-09-05,25136,25228,25136,25182,12045
2012-09-06,25188,25464,25155,25197,30636
2012-09-07,25170,25620,25052,25594,32815
2012-09-08,25600,25613,25525,25545,3534
2012-09-10,25570,25670,25522,25573,15947
2012-09-11,25600,25650,25521,25571,11921
2012-09-12,25608,25750,25451,25576,18313
2012-09-13,25617,26030,25483,25936,25800
2012-09-14,25956,26011,25601,25625,25901
2012-09-15,25630,25655,25600,25638,1278
2012-09-17,25586,25649,25533,25565,11363
2012-09-18,25548,25697,25434,25676,15884
2012-09-19,25700,25777,25650,25738,5708
2012-09-20,25700,25770,25640,25692,9993
2012-09-21,25720,25732,25400,25435,18556
2012-09-22,25400,25411,25344,25376,2266
2012-09-24,25333,25366,25201,25307,11487
2012-09-25,25350,25407,25252,25269,7009
2012-09-26,25270,25370,25200,25234,6544
2012-09-27,25213,25327,25111,25273,4445
2012-09-28,25273,25300,25195,25252,3317
2012-09-29,25212,25589,25013,25350,1515
2012-10-01,25188,25274,25088,25165,16559
2012-10-03,25126,25179,25104,25113,10904
2012-10-04,25125,25129,25000,25013,14686
2012-10-05,25025,25140,25001,25027,14146
2012-10-06,25059,25069,25030,25057,1157
2012-10-08,25025,25155,25001,25138,12245
2012-10-09,25145,25185,25107,25158,11903
2012-10-10,25182,25270,25161,25252,14844
2012-10-11,25268,25295,25133,25143,15251
2012-10-12,25170,25199,25115,25131,10202
2012-10-13,25115,25138,25102,25128,870
2012-10-15,25112,25112,24900,24915,15629
2012-10-16,24900,24954,24830,24930,7797
2012-10-17,24949,25016,24937,25007,7782
2012-10-18,25019,25152,25001,25141,12036
2012-10-19,25135,25179,25025,25054,10283
2012-10-20,25055,25079,25047,25061,595
2012-10-22,25080,25080,24837,24882,10092
2012-10-23,24865,24865,24675,24708,11182
2012-10-24,24700,24723,24520,24542,5287
2012-10-25,24567,24599,24132,24507,11555
2012-10-26,24500,24623,24403,24546,8114
2012-10-27,24430,24590,24430,24563,1313
2012-10-29,24586,24649,24560,24597,5941
2012-10-30,24500,24666,24500,24610,5931
2012-10-31,24666,24666,24507,24644,5307
2012-11-01,24892,24924,24826,24840,10387
2012-11-02,24825,24825,24410,24434,20745
2012-11-03,24420,24504,24420,24491,2468
2012-11-05,24515,24740,24490,24725,16306
2012-11-06,24705,25037,24690,24981,18629
2012-11-07,24983,25103,24791,24922,31135
2012-11-08,24979,25054,24934,25027,16582
2012-11-09,25055,25325,25055,25256,26205
2012-11-10,25280,25287,25215,25277,1835
2012-11-12,25290,25499,25284,25372,21944
2012-11-13,25371,25450,25275,25306,6685
2012-11-14,25342,25358,25213,25330,10503
2012-11-15,25275,25340,25155,25174,12977
2012-11-16,25195,25270,25158,25257,11787
2012-11-17,25240,25254,25220,25247,1042
2012-11-19,25280,25333,25247,25296,10639
2012-11-20,25309,25384,25282,25312,11265
2012-11-21,25285,25361,25285,25350,8310
2012-11-22,25320,25430,25320,25421,8553
2012-11-23,25430,25770,25421,25756,16482
2012-11-24,25774,25800,25710,25752,2910
2012-11-26,25760,25980,25727,25915,13870
2012-11-27,25868,25975,25659,25773,6239
2012-11-28,25775,25788,25397,25566,2987
2012-11-29,25501,25535,25267,25319,2603
2012-11-30,25370,25371,25080,25140,1708
2012-12-01,25130,25199,25123,25187,3401
2012-12-03,25200,25330,25200,25253,15877
2012-12-04,25275,25310,24971,24991,23030
2012-12-05,25016,25068,24780,24819,22290
2012-12-06,24819,24860,24588,24820,27496
2012-12-07,24850,24888,24682,24852,17974
2012-12-08,24869,24894,24858,24886,1168
2012-12-10,24850,25043,24850,24990,12832
2012-12-11,24980,24989,24832,24904,9931
2012-12-12,24915,24974,24872,24926,13017
2012-12-13,24880,24880,24716,24785,17719
2012-12-14,24810,24839,24744,24758,10650
2012-12-15,24765,24790,24743,24783,1521
2012-12-17,24750,24875,24718,24849,12155
2012-12-18,24855,25000,24605,24656,21636
2012-12-19,24618,24634,24435,24464,21003
2012-12-20,24488,24560,24056,24146,18817
2012-12-21,24152,24449,24152,24437,19736
2012-12-22,24352,24475,24352,24468,1476
2012-12-24,24480,24480,24350,24413,10349
2012-12-26,24388,24388,24031,24279,14645
2012-12-27,24250,24420,24152,24383,13410
2012-12-28,24337,24440,24282,24319,10104
2012-12-29,24301,24350,24301,24338,3657
2012-12-31,24360,24386,24204,24352,9967
2013-01-01,24678,24720,24625,24689,4900
2013-01-02,24678,24870,24606,24816,18481
2013-01-03,24797,24908,24732,24750,13606
2013-01-04,24726,24726,24518,24627,18569
2013-01-05,24652,24723,24639,24716,2680
2013-01-07,24740,24817,24677,24690,14864
2013-01-08,24701,24768,24685,24752,8949
2013-01-09,24745,24760,24660,24673,11082
2013-01-10,24657,24770,24605,24756,15129
2013-01-11,24745,24767,24659,24694,9598
2013-01-12,24707,24718,24695,24707,1025
2013-01-14,24722,24756,24691,24729,6729
2013-01-15,24730,24830,24721,24807,9482
2013-01-16,24819,24850,24795,24814,6668
2013-01-17,24800,24874,24681,24782,13681
2013-01-18,24772,24772,24701,24722,7981
2013-01-19,24706,24722,24690,24713,895
2013-01-21,24718,24810,24696,24770,7454
2013-01-22,24780,24805,24750,24761,4760
2013-01-23,24793,24803,24668,24690,6102
2013-01-24,24701,24701,24484,24504,8696
2013-01-25,24504,24530,24242,24267,8317
2013-01-28,24250,24345,24111,24232,10024
2013-01-29,24293,24293,24121,24150,9653
2013-01-30,24166,24240,24032,24182,5788
2013-01-31,24151,24199,24035,24074,4467
2013-02-01,24305,24422,24251,24306,11445
2013-02-02,24308,24320,24263,24316,916
2013-02-04,24311,24415,24241,24399,9217
2013-02-05,24405,24455,24291,24321,9425
2013-02-06,24323,24399,24294,24371,6750
2013-02-07,24376,24470,24320,24420,10158
2013-02-08,24420,24445,24372,24407,4861
2013-02-09,24407,24435,24407,24430,595
2013-02-11,24420,24450,24296,24322,6927
2013-02-12,24300,24314,24255,24279,5095
2013-02-13,24311,24320,24250,24260,4794
2013-02-14,24275,24290,24171,24181,5926
2013-02-15,24167,24167,23801,23885,10620
2013-02-16,23900,23919,23856,23905,1673
2013-02-18,23925,23960,23861,23876,5303
2013-02-19,23863,23920,23710,23777,9053
2013-02-20,23800,23800,23286,23353,16747
2013-02-21,23310,23490,23056,23464,16397
2013-02-22,23500,23530,23293,23322,11789
2013-02-23,23375,23392,23280,23347,4607
2013-02-25,23397,23420,23271,23331,9189
2013-02-26,23360,23850,23305,23799,9219
2013-02-27,23708,23758,23563,23586,4273
2013-02-28,23510,23655,23350,23453,3335
2013-03-01,23622,23816,23535,23721,12956
2013-03-02,23725,23749,23725,23735,749
2013-03-04,23725,23755,23663,23723,9288
2013-03-05,23704,23770,23658,23667,7928
2013-03-06,23670,23719,23566,23658,9430
2013-03-07,23700,23710,23511,23520,10631
2013-03-08,23510,23534,23305,23463,12797
2013-03-09,23477,23480,23462,23471,683
2013-03-11,23499,23530,23433,23448,7479
2013-03-12,23417,23599,23417,23532,9298
2013-03-13,23521,23650,23507,23573,9725
2013-03-14,23553,23589,23433,23500,8820
2013-03-15,23482,23560,23462,23510,8567
2013-03-16,23490,23527,23490,23515,458
2013-03-18,23530,23703,23530,23646,8950
2013-03-19,23612,23890,23591,23875,10705
2013-03-20,23883,23883,23730,23754,6580
2013-03-21,23738,23865,23710,23845,7141
2013-03-22,23803,23839,23720,23738,5610
2013-03-23,23730,23768,23678,23747,2842
2013-03-25,23780,23780,23480,23674,14303
2013-03-26,23642,23642,23521,23578,5927
2013-03-27,23632,23675,23466,23647,2397
2013-03-28,23580,23631,23511,23542,4670
2013-03-30,23525,23550,23362,23466,3259
2013-04-01,23767,23796,23737,23765,5379
2013-04-02,23777,23780,23480,23487,9062
2013-04-03,23470,23470,23200,23213,10989
2013-04-04,23178,23320,23112,23299,10892
2013-04-05,23288,23548,23232,23531,10016
2013-04-06,23576,23596,23500,23566,1193
2013-04-08,23545,23558,23365,23403,6906
2013-04-09,23356,23568,23356,23507,8416
2013-04-10,23494,23578,23200,23220,11971
2013-04-11,23255,23267,23120,23196,8580
2013-04-12,23194,23225,21851,22356,20606
2013-04-13,22206,22206,21765,22143,4971
2013-04-15,22120,22120,20156,20313,40973
2013-04-16,20186,20740,19900,20505,17826
2013-04-17,20400,20580,20265,20447,10739
2013-04-18,20370,20566,20224,20479,10075
2013-04-19,20544,20715,20501,20570,5404
2013-04-20,20598,20767,20598,20748,1397
2013-04-22,20810,21216,20810,21104,10636
2013-04-23,21140,21165,20868,20929,10483
2013-04-24,20990,21160,20969,21120,4156
2013-04-25,21175,21725,21131,21684,7646
2013-04-26,21714,21921,21505,21601,6001
2013-04-27,21645,21721,21590,21619,556
2013-04-29,21661,21718,21552,21606,1435
2013-04-30,21590,21590,21431,21494,1656
2013-05-01,21558,21558,21124,21251,10157
2013-05-02,21220,21599,21220,21533,14446
2013-05-03,21587,21850,21400,21462,18918
2013-05-04,21500,21566,21500,21558,1102
2013-05-06,21580,21756,21560,21649,10102
2013-05-07,21650,21650,21281,21364,15132
2013-05-08,21420,21659,21360,21626,13818
2013-05-09,21630,21730,21526,21695,13234
2013-05-10,21660,21665,21301,21446,22036
2013-05-11,21470,21578,21470,21555,2649
2013-05-13,21530,21530,21266,21434,11726
2013-05-14,21450,21490,21300,21359,14101
2013-05-15,21380,21380,21006,21059,15660
2013-05-16,21010,21010,20731,20962,14202
2013-05-17,20890,20962,20732,20777,11271
2013-05-18,20740,20740,20690,20722,741
2013-05-20,20690,21200,20325,20909,15296
2013-05-21,20940,21089,20730,20896,12273
2013-05-22,20865,21275,20816,20849,15109
2013-05-23,20890,21150,20857,21131,11163
2013-05-24,21100,21213,21010,21084,7762
2013-05-27,21095,21150,20984,21074,3330
2013-05-28,21000,21255,20911,21050,5459
2013-05-29,21160,21250,21001,21205,5248
2013-05-30,21232,21660,21125,21621,2857
2013-05-31,21650,21776,21484,21599,2418
2013-06-01,21527,21535,21463,21490,1381
2013-06-03,21501,21783,21453,21759,11071
2013-06-04,21727,21813,21540,21585,10646
2013-06-05,21551,22120,21551,22000,15423
2013-06-06,21950,22246,21882,22190,13991
2013-06-07,22180,22271,21860,21940,14771
2013-06-08,21920,21985,21920,21967,873
2013-06-10,21995,22300,21995,22273,12421
2013-06-11,22260,22486,22073,22226,16274
2013-06-12,22170,22299,22029,22271,12851
2013-06-13,22282,22448,22140,22166,13331
2013-06-14,22154,22223,22020,22201,10435
2013-06-15,22220,22277,22213,22263,1293
2013-06-17,22262,22340,22165,22261,7087
2013-06-18,22279,22437,22240,22333,10564
2013-06-19,22287,22396,22250,22376,7019
2013-06-20,22330,22340,21501,21562,20665
2013-06-21,21598,21662,21471,21635,8694
2013-06-22,21665,21712,21625,21686,669
2013-06-24,21671,21671,21430,21473,6546
2013-06-25,21435,21498,21320,21339,3714
2013-06-26,21321,21970,20708,20979,3911
2013-06-27,21041,21069,20150,20302,2423
2013-06-28,20002,20591,19906,20494,1728
2013-06-29,20500,20864,20450,20587,1267
2013-07-01,20660,20900,20559,20842,10976
2013-07-02,20810,21015,20735,20787,9523
2013-07-03,20850,21170,20850,21055,12852
2013-07-04,20985,21050,20920,20948,6330
2013-07-05,20912,20940,20624,20701,13611
2013-07-06,20750,20849,20750,20832,1396
2013-07-08,20865,20895,20730,20854,8087
2013-07-09,20890,20999,20810,20837,8783
2013-07-10,20802,20944,20770,20855,7088
2013-07-11,20915,21440,20915,21298,12119
2013-07-12,21281,21325,21125,21237,8647
2013-07-13,21257,21345,21257,21335,1404
2013-07-15,21350,21475,21110,21136,10541
2013-07-16,21100,21244,20869,21141,9573
2013-07-17,21135,21336,20972,21044,11113
2013-07-18,21093,21280,21080,21257,9611
2013-07-19,21280,21380,21212,21300,6776
2013-07-20,21306,21345,21285,21298,523
2013-07-22,21345,22077,21345,21914,11313
2013-07-23,21914,21990,21782,21890,6806
2013-07-24,21931,21960,21670,21691,8358
2013-07-25,21708,21831,21540,21819,8879
2013-07-26,21840,21900,21714,21867,4877
2013-07-27,21920,22133,21831,22069,1212
2013-07-29,22048,22680,21951,22529,3022
2013-07-30,22500,22649,22307,22568,1868
2013-07-31,22698,22893,22458,22625,1682
2013-08-01,22425,22464,22253,22345,9768
2013-08-02,22280,22499,22017,22452,14936
2013-08-03,22430,22463,22406,22433,645
2013-08-05,22420,22547,22314,22363,8288
2013-08-06,22329,22433,22222,22262,10618
2013-08-07,22210,22329,22090,22294,9153
2013-08-08,22280,22470,22201,22454,10288
2013-08-09,22390,22531,22350,22477,3817
2013-08-10,22431,22500,22431,22488,687
2013-08-12,22500,23466,22500,23351,15703
2013-08-13,23355,23539,23180,23301,13235
2013-08-14,23299,23700,23182,23667,11014
2013-08-16,23786,25644,23786,25081,15889
2013-08-17,25300,25368,25037,25211,3249
2013-08-19,25300,25511,25024,25374,9063
2013-08-20,25300,25400,24651,25027,10272
2013-08-21,24960,25478,24854,25440,9737
2013-08-22,25364,25588,25101,25143,11602
2013-08-23,25150,25780,25016,25742,10558
2013-08-24,25720,25774,25630,25658,942
2013-08-26,25790,25880,25641,25753,6347
2013-08-27,25770,27900,25770,27344,6649
2013-08-28,27890,28125,26450,26639,5348
2013-08-29,26460,26953,26127,26652,1693
2013-08-30,26430,26485,25912,26105,1374
2013-08-31,26177,26739,25950,26330,247
2013-09-02,26210,26536,26025,26478,8840
2013-09-03,26500,27620,26441,27570,15228
2013-09-04,27469,27469,25971,26128,18555
2013-09-05,26031,26300,25731,25883,15802
2013-09-06,25880,25980,25410,25652,14864
2013-09-07,25647,25770,25550,25700,754
2013-09-09,25680,25768,25366,25407,5214
2013-09-10,25358,25358,24645,24762,11701
2013-09-11,24823,25070,24575,24780,11473
2013-09-12,24680,24763,24156,24316,14670
2013-09-13,24240,24442,24004,24046,11222
2013-09-14,24120,24690,24120,24548,2423
2013-09-16,24395,24450,23950,24239,10777
2013-09-17,24300,24630,24030,24087,15611
2013-09-18,23980,24366,23675,24273,13350
2013-09-19,24370,24809,24370,24693,15726
2013-09-20,24619,24725,24173,24216,14232
2013-09-23,24150,24259,23961,24224,9080
2013-09-24,24312,24335,24029,24134,7729
2013-09-25,24225,24240,24090,24141,6530
2013-09-26,24080,24229,23548,23665,2554
2013-09-27,23733,24206,23501,24112,1855
2013-09-30,24121,24358,24021,24099,1207
2013-10-01,24240,24335,23762,23917,12816
2013-10-03,23932,24170,23816,24144,11642
2013-10-04,24100,24100,23875,23955,9661
2013-10-07,23968,24250,23968,24215,8700
2013-10-08,24250,24288,24009,24064,9481
2013-10-09,24088,24088,23880,24008,8496
2013-10-10,24001,24134,23861,23912,8342
2013-10-11,23860,23901,23710,23735,7685
2013-10-14,23775,24300,23687,24040,9615
2013-10-15,24000,24131,23850,24102,8859
2013-10-16,24134,24200,24028,24141,3688
2013-10-17,24100,24488,23990,24463,10540
2013-10-18,24405,24619,24325,24449,6826
2013-10-21,24529,24651,24520,24623,4574
2013-10-22,24610,24930,24575,24895,6895
2013-10-23,24860,24998,24795,24926,6279
2013-10-24,25025,25338,24950,25288,5763
2013-10-25,25240,25580,25240,25553,5465
2013-10-28,25581,26180,25500,26048,3108
2013-10-29,26148,26824,25701,25881,2508
2013-10-30,25900,25998,25752,25819,1172
2013-10-31,25820,26399,25311,25615,1656
2013-11-01,24548,24770,24510,24598,6767
2013-11-03,24643,24750,24621,24659,1601
2013-11-04,24600,24680,24550,24573,1576
2013-11-05,24575,24575,24380,24490,4734
2013-11-06,24525,24788,24500,24734,7349
2013-11-07,24710,24840,24554,24652,8485
2013-11-08,24650,24740,24490,24509,6973
2013-11-11,24570,24827,24541,24767,6650
2013-11-12,24798,24900,24670,24841,6507
2013-11-13,24821,24821,24626,24672,6413
2013-11-14,24689,24939,24689,24854,7064
2013-11-15,24841,24873,24800,24851,1687
2013-11-18,24830,24864,24679,24709,5053
2013-11-19,24687,24995,24671,24922,6404
2013-11-20,24950,25125,24936,24965,5414
2013-11-21,24950,25100,24858,25059,4832
2013-11-22,25084,25100,24940,24957,3731
2013-11-25,24921,25030,24775,24992,3654
2013-11-26,25049,25101,25000,25054,1837
2013-11-27,24980,25190,24980,25153,1163
2013-11-28,25145,25148,24880,24919,915
2013-11-29,24980,25666,24901,25425,762
2013-12-02,24130,24130,23907,23925,4656
2013-12-03,23906,24130,23879,24111,4686
2013-12-04,24094,24500,24091,24467,6275
2013-12-05,24465,24465,24143,24275,6074
2013-12-06,24225,24295,24092,24131,6415
2013-12-09,24130,24225,24030,24206,3382
2013-12-10,24228,24410,24228,24383,4132
2013-12-11,24400,24445,24236,24326,4839
2013-12-12,24352,24379,24171,24196,4498
2013-12-13,24179,24360,24142,24347,4019
2013-12-16,24250,24325,24135,24209,5799
2013-12-17,24234,24260,24079,24105,4176
2013-12-18,24177,24260,24120,24156,2933
2013-12-19,24115,24120,23943,23971,3939
2013-12-20,23932,24071,23880,24034,3530
2013-12-23,24005,24069,23825,23864,2822
2013-12-24,23820,23859,23720,23739,2357
2013-12-26,23793,23859,23224,23282,2384
2013-12-27,23210,23285,22905,23200,1702
2013-12-30,22593,23280,22593,23218,1304
2013-12-31,23062,23194,22951,23083,758
2014-01-01,23260,23309,23230,23286,909
2014-01-02,23321,23631,23320,23612,5869
2014-01-03,23640,23786,23600,23733,4634
2014-01-04,23733,23733,23733,23733,0
2014-01-06,23777,23820,23655,23682,3567
2014-01-07,23700,23734,23573,23594,2924
2014-01-08,23557,23608,23491,23554,2779
2014-01-09,23566,23620,23530,23591,2190
2014-01-10,23625,23710,23562,23696,2570
2014-01-13,23681,23776,23659,23766,2081
2014-01-14,23745,23815,23710,23725,1272
2014-01-15,23706,23725,23639,23711,1961
2014-01-16,23724,23759,23688,23719,1432
2014-01-17,23712,23860,23656,23834,2738
2014-01-20,23831,23920,23830,23886,1607
2014-01-21,23857,23977,23782,23866,1893
2014-01-22,23887,23896,23801,23845,1426
2014-01-23,23829,23950,23775,23927,2839
2014-01-24,23904,24148,23887,24024,2341
2014-01-27,24100,24299,24065,24242,2031
2014-01-28,24150,24239,24110,24159,669
2014-01-29,24150,24367,24030,24309,1042
2014-01-30,24346,24379,24085,24103,678
